Company,Industry,Location,address,Phone,Tier,Activeness,Status,Account Manager,Business Developer
ABB Lumus,Industrial,Corporate,"3010 Briarpark Drive, Houston, TX 77042, US",,Tier 3,Non-Active,Qualified,Nathan Gewin (PSS),Bridget LaBorde
Acordis Cellulosis Fibers,Industrial,Axis,"P. O. Box 141 - Hwy 43N, Axis, AL 36505, US",,Tier 3,Non-Active,Not Qualified,,Bridget LaBorde
"ACRO Technologies, Inc.",Chemical / Refining / Metals,Austin,"11803 Oliver Cemetery Road, Austin, TX 78736, US",,Tier 3,Non-Active,Not Qualified,Nathan Gewin (FTS),Bridget LaBorde
ADCO Boiler,Industrial,"Bessemer, AL","3657 PINE LANE, BESSEMER, AL 35023, US",225-752-0823,Tier 3,Non-Active,Qualified,,Bridget LaBorde
Aditya Birla Group,Chemical / Refining / Metals,North Bend,"370 Columbia Chemical Ln, Centerville, LA 70522, US",,Tier 1	(Targeted),Active,Qualified,"Mark Maulden (FTS), Barry Landry  (TPS)",
Advanced Acoustic Technology LLC,Industrial,Monkton,"3022 Shepperd Road MD, Monkton, TX 21111, US",,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",Bridget LaBorde
Advanced Aromatics,Chemical / Refining / Metals,Baytown,"5501 Baker Road, Baytown, TX 77522, US",281-424-5901,Tier 3,Non-Active,Not Qualified,Nathan Gewin (PSS),Bridget LaBorde
Advanced Environmental Compliance,Industrial,Ball,"80 Baum Road, Ball, LA 71405, US",,Tier 3,Non-Active,Not Qualified,,Bridget LaBorde
Agri Liquids Inc,Chemical / Refining / Metals,Leighton,"11305 Old Hwy 20, Leighton, AL 35646, US",256-446-8453,Tier 3,Non-Active,Not Qualified,Barry Landry  (TPS),John Shaw
Agrifos,Chemical / Refining / Metals,Pasadena,"2001 Jackson Road, Pasadena, TX 77501, US",713-920-5300,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",Bridget LaBorde
Agrilectric Power,Power,Lake Charles,"3063 Highway 397, Lake Charles, LA 70615, US",,Tier 3,Non-Active,Not Qualified,Barry Landry  (TPS),John Shaw
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Addis,"10099 Hwy 1 South, Addis, LA 70710, US",504-685-4221,Tier 3,Non-Active,Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Blytheville,"4326 Co Road 919, Blytheville, AR 72315, US",,Tier 3,Non-Active,Not Qualified,,
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Channelview,"2000 Sheldon Road, Channelview, TX 77530, US",281-452-4766,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Corpus Christi,"5880 Upriver Road, Corpus Christi, TX 78407, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,FREEPORT,"1711 FM 523, FREEPORT, TX 77541, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Barry Landry  (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Geismar,"36183 Hwy 30, Geismar, LA 70734, US",,Tier 1,Active,Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Geismar,"36597 Hwy 30, Geismar, LA 70734, US",225-744-5702,Tier 1	(Targeted),Active,Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Houston,"2700 Post Oak Blvd. Ste: 1800, Houston, TX 77056, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",
